time,DRN01,DRN02,DRN03,DRN04,DRN05,DRN06,DRN07,DRN08,DRN09,DRN10,DRN11,DRN12,DRN13,DRN14,DRN15,DRN16,DRN17,DRN18
1884.000000000,-79706.,-0.76555E+06,-0.14628E+06,-0.11089E+07,-0.53340E+07,-0.55776E+06,-0.20654E+07,-0.20626E+07,-0.13657E+08,-4958.1,-0.42834E+07,-0.15610E+07,-0.84579E+07,-0.38622E+07,-0.15408E+07,-0.10601E+07,-0.33793E+07,-0.14695E+07
1915.000000000,-77098.,-0.73995E+06,-0.13990E+06,-0.10596E+07,-0.50869E+07,-0.54561E+06,-0.19243E+07,-0.19826E+07,-0.13212E+08,-6140.5,-0.40571E+07,-0.14494E+07,-0.81609E+07,-0.34796E+07,-0.14823E+07,-0.98791E+06,-0.31424E+07,-0.13835E+07
1945.000000000,-79897.,-0.74994E+06,-0.14145E+06,-0.10629E+07,-0.51490E+07,-0.55397E+06,-0.20819E+07,-0.20513E+07,-0.15079E+08,-6786.9,-0.45902E+07,-0.22864E+07,-0.82422E+07,-0.37024E+07,-0.14480E+07,-0.14985E+07,-0.39012E+07,-0.13360E+07
1976.000000000,-85382.,-0.79229E+06,-0.15224E+06,-0.11484E+07,-0.56242E+07,-0.57532E+06,-0.23723E+07,-0.23869E+07,-0.18000E+08,-10122.,-0.56957E+07,-0.42911E+07,-0.90557E+07,-0.45888E+07,-0.15540E+07,-0.29078E+07,-0.51475E+07,-0.14568E+07
2006.000000000,-88190.,-0.83420E+06,-0.16066E+06,-0.12133E+07,-0.60483E+07,-0.59319E+06,-0.27264E+07,-0.25691E+07,-0.19575E+08,-12514.,-0.64856E+07,-0.48922E+07,-0.96907E+07,-0.54970E+07,-0.16784E+07,-0.40305E+07,-0.59314E+07,-0.15928E+07
2037.000000000,-90393.,-0.86852E+06,-0.16978E+06,-0.12719E+07,-0.65041E+07,-0.60421E+06,-0.31335E+07,-0.26790E+07,-0.20726E+08,-9055.4,-0.71796E+07,-0.53030E+07,-0.10533E+08,-0.63533E+07,-0.18604E+07,-0.52102E+07,-0.70056E+07,-0.17757E+07
2068.000000000,-92071.,-0.90070E+06,-0.17890E+06,-0.13312E+07,-0.68879E+07,-0.61454E+06,-0.33812E+07,-0.28499E+07,-0.21089E+08,-5678.5,-0.76029E+07,-0.54146E+07,-0.11210E+08,-0.71925E+07,-0.20189E+07,-0.58815E+07,-0.76100E+07,-0.19290E+07
2098.000000000,-93512.,-0.91544E+06,-0.18267E+06,-0.13547E+07,-0.70421E+07,-0.62155E+06,-0.34346E+07,-0.29019E+07,-0.20195E+08,-1288.5,-0.74727E+07,-0.50747E+07,-0.11562E+08,-0.73184E+07,-0.20342E+07,-0.53538E+07,-0.76688E+07,-0.20168E+07
2129.000000000,-95230.,-0.90832E+06,-0.18104E+06,-0.13403E+07,-0.69384E+07,-0.62143E+06,-0.31767E+07,-0.28302E+07,-0.18688E+08,-2510.2,-0.66689E+07,-0.44336E+07,-0.11342E+08,-0.69866E+07,-0.19782E+07,-0.40991E+07,-0.68481E+07,-0.19954E+07
2159.000000000,-92313.,-0.86807E+06,-0.17164E+06,-0.12804E+07,-0.64870E+07,-0.60542E+06,-0.27628E+07,-0.25504E+07,-0.16410E+08,-6389.8,-0.54986E+07,-0.27662E+07,-0.10377E+08,-0.59434E+07,-0.18953E+07,-0.22199E+07,-0.52562E+07,-0.18731E+07
2190.000000000,-89409.,-0.83744E+06,-0.16322E+06,-0.12229E+07,-0.60973E+07,-0.59029E+06,-0.24769E+07,-0.23596E+07,-0.15080E+08,-9498.9,-0.49138E+07,-0.21003E+07,-0.95183E+07,-0.50876E+07,-0.18161E+07,-0.14863E+07,-0.43255E+07,-0.17564E+07
2221.000000000,-86605.,-0.80869E+06,-0.15558E+06,-0.11689E+07,-0.57619E+07,-0.57627E+06,-0.22504E+07,-0.22050E+07,-0.14270E+08,-11489.,-0.45408E+07,-0.17667E+07,-0.89786E+07,-0.44401E+07,-0.17435E+07,-0.11986E+07,-0.37643E+07,-0.16480E+07
