sp,days,start_date,mid_date,year,month
326,28,2013-02-01 00:00:00,2013-02-15 00:00:00,2013,2
327,31,2013-03-01 00:00:00,2013-03-16 12:00:00,2013,3
328,30,2013-04-01 00:00:00,2013-04-16 00:00:00,2013,4
329,31,2013-05-01 00:00:00,2013-05-16 12:00:00,2013,5
330,30,2013-06-01 00:00:00,2013-06-16 00:00:00,2013,6
331,31,2013-07-01 00:00:00,2013-07-16 12:00:00,2013,7
332,31,2013-08-01 00:00:00,2013-08-16 12:00:00,2013,8
333,30,2013-09-01 00:00:00,2013-09-16 00:00:00,2013,9
334,31,2013-10-01 00:00:00,2013-10-16 12:00:00,2013,10
335,30,2013-11-01 00:00:00,2013-11-16 00:00:00,2013,11
336,31,2013-12-01 00:00:00,2013-12-16 12:00:00,2013,12
337,31,2014-01-01 00:00:00,2014-01-16 12:00:00,2014,1
338,28,2014-02-01 00:00:00,2014-02-15 00:00:00,2014,2
339,31,2014-03-01 00:00:00,2014-03-16 12:00:00,2014,3
340,30,2014-04-01 00:00:00,2014-04-16 00:00:00,2014,4
341,31,2014-05-01 00:00:00,2014-05-16 12:00:00,2014,5
342,30,2014-06-01 00:00:00,2014-06-16 00:00:00,2014,6
343,31,2014-07-01 00:00:00,2014-07-16 12:00:00,2014,7
344,31,2014-08-01 00:00:00,2014-08-16 12:00:00,2014,8
345,30,2014-09-01 00:00:00,2014-09-16 00:00:00,2014,9
346,31,2014-10-01 00:00:00,2014-10-16 12:00:00,2014,10
347,30,2014-11-01 00:00:00,2014-11-16 00:00:00,2014,11
348,31,2014-12-01 00:00:00,2014-12-16 12:00:00,2014,12
349,31,2015-01-01 00:00:00,2015-01-16 12:00:00,2015,1
350,28,2015-02-01 00:00:00,2015-02-15 00:00:00,2015,2
351,31,2015-03-01 00:00:00,2015-03-16 12:00:00,2015,3
352,30,2015-04-01 00:00:00,2015-04-16 00:00:00,2015,4
353,31,2015-05-01 00:00:00,2015-05-16 12:00:00,2015,5
354,30,2015-06-01 00:00:00,2015-06-16 00:00:00,2015,6
355,31,2015-07-01 00:00:00,2015-07-16 12:00:00,2015,7
356,31,2015-08-01 00:00:00,2015-08-16 12:00:00,2015,8
357,30,2015-09-01 00:00:00,2015-09-16 00:00:00,2015,9
358,31,2015-10-01 00:00:00,2015-10-16 12:00:00,2015,10
359,30,2015-11-01 00:00:00,2015-11-16 00:00:00,2015,11
360,31,2015-12-01 00:00:00,2015-12-16 12:00:00,2015,12
